SiteID,FieldWetlandType,FieldVeldAge,FieldAliensWithin20m,Latitude,Longitude,PairID,RecordingNum,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandType,LandCoverClass,ElevationClass,FireClass
s2lam139_231009,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.059617,20.431553,499,1470,23,10,9,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam054_230807,"Not available","Not available","Not available",-34.700215,20.1311,498,575,23,8,7,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam120_231117,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.700188,20.131092,498,583,23,11,17,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam020_231010,"Not near (100 m) any water","Old (> 17 yrs)","None",-34.803752,19.941432,497,695,23,10,10,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam105_230812,"Not available","Not available","Not available",-34.8038,19.9414,497,710,23,8,12,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam010_231011,"In or near (10 m) seep","Not available","Rare to Very Scattered",-34.311841,18.429374,496,1005,23,10,11,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam015_230710,"Not available","Not available","Not available",-34.311886,18.429389,496,571,23,7,10,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam119_231026,"Not near (100 m) any water","Young (burned, < 6 yrs)","None",-33.515512,20.575432,495,854,23,10,26,"Dry season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam135_230802,"Not available","Not available","Not available",-33.515527,20.5754,495,715,23,8,2,"Wet season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam030_230811,"Not available","Not available","Not available",-32.1977,19.0944,494,1530,23,8,11,"Wet season",Y,Y,,"Grassland","Medium: 500-1000 m","6-to-12 years"
s2lam092_231031,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-32.197751,19.094085,494,687,23,10,31,"Dry season",Y,Y,,"Grassland","Medium: 500-1000 m","6-to-12 years"
s2lam078_231010,"Not available","Old (> 17 yrs)","None",-34.809432,19.944318,493,715,23,10,10,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam116_230812,"Not available","Not available","Not available",-34.809442,19.944388,493,709,23,8,12,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam020_230810,"Not available","Not available","Not available",-33.9565,21.2232,492,872,23,8,10,"Wet season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam161_231109,"Not near (100 m) any water","Young (burned, < 6 yrs)","None",-33.956487,21.223185,492,547,23,11,9,"Dry season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam016_230718,"Not available","Not available","Not available",-34.0677,22.948966,491,579,23,7,18,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam074_231027,"Not near (100 m) any water","Intermediate (6-17 yrs)","Rare to Very Scattered",-34.067685,22.948984,491,721,23,10,27,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam098_231029,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.635096,19.583363,490,975,23,10,29,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam101_230630,"Not available","Not available","Not available",-34.635407,19.583603,490,566,23,6,30,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam042_230710,"Not available","Not available","Not available",-34.3316,18.46297,489,573,23,7,10,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam133_231011,"Not near (100 m) any water","Not available","Rare to Very Scattered",-34.331579,18.462966,489,1004,23,10,11,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam041_230718,"Not available","Not available","Not available",-34.073519,22.9652,488,571,23,7,18,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam041_231027,"Not near (100 m) any water","Old (> 17 yrs)","Scattered to Medium",-34.07359,22.965158,488,722,23,10,27,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam057_230807,"Not available","Not available","Not available",-33.1529,18.1214,487,171,23,8,7,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam080_231128,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.152879,18.121392,487,1281,23,11,28,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam108_231106,"Not available","Not available","Not available",-33.677361,21.551764,486,1130,23,11,6,"Dry season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam162_230808,"Not available","Not available","Not available",-33.677342,21.5517,486,979,23,8,8,"Wet season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam045_230725,"Not available","Not available","Not available",-34.413512,20.6317,485,709,23,7,25,"Wet season",Y,Y,,"Agriculture","Low: 0-500 m","6-to-12 years"
s2lam123_231110,"Not near (100 m) any water","Young (burned, < 6 yrs)","Rare to Very Scattered",-34.41351,20.631727,485,725,23,11,10,"Dry season",Y,Y,,"Agriculture","Low: 0-500 m","6-to-12 years"
s2lam117_231013,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.3679,22.107932,484,1024,23,10,13,"Dry season",Y,N,,"Grassland","Medium: 500-1000 m","25+ years"
s2lam151_230713,"Not available","Not available","Not available",-33.3679,22.1079,484,896,23,7,13,"Wet season",Y,N,,"Grassland","Medium: 500-1000 m","25+ years"
s2lam025_230815,"Not available","Not available","Not available",-33.915431,22.415677,483,1005,23,8,15,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam150_231113,"Within 50 m of a river or stream","Young (burned, < 6 yrs)","Rare to Very Scattered",-33.915443,22.415671,483,573,23,11,13,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam081_230705,"Not available","Not available","Not available",-34.718987,19.767503,482,668,23,7,5,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam123_231016,"In or near (25 m) wetland","Intermediate (6-17 yrs)","None",-34.718977,19.767433,482,565,23,10,16,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam026_230822,"Not available","Not available","Not available",-34.433642,20.4193,481,692,23,8,22,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","25+ years"
s2lam105_231022,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.433537,20.419391,481,570,23,10,22,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","25+ years"
s2lam118_230703,"Not available","Not available","Not available",-34.3216,18.965567,480,1125,23,7,3,"Wet season",Y,Y,"Seep","Wetland","Low: 0-500 m","1-to-6 years"
s2lam142_231130,"In or near (25 m) wetland","Intermediate (6-17 yrs)","None",-34.321593,18.965588,480,608,23,11,30,"Dry season",Y,Y,"Seep","Wetland","Low: 0-500 m","1-to-6 years"
s2lam071_230820,"Not available","Not available","Not available",-34.000935,18.3913,479,1016,23,8,20,"Wet season",Y,Y,"Floodplain","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam080_231118,"In or near (10 m) seep","Old (> 17 yrs)","Rare to Very Scattered",-34.000992,18.391309,479,1001,23,11,18,"Dry season",Y,Y,"Floodplain","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam144_231026,"Not near (100 m) any water","Young (burned, < 6 yrs)","None",-33.518933,20.544805,478,854,23,10,26,"Dry season",Y,N,,"Shrubland-Fynbos","High: >1000 m","12-to-17 years"
s2lam156_230802,"Not available","Not available","Not available",-33.5189,20.544782,478,387,23,8,2,"Wet season",Y,N,,"Shrubland-Fynbos","High: >1000 m","12-to-17 years"
s2lam071_230702,"Not available","Not available","Not available",-34.1031,18.437288,477,583,23,7,2,"Wet season",Y,Y,"Seep","Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam188_231124,"Within 50 m of a river or stream","Young (burned, < 6 yrs)","None",-34.103066,18.437319,477,440,23,11,24,"Dry season",Y,Y,"Seep","Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam130_231130,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.326575,18.965803,476,607,23,11,30,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","12-to-17 years"
s2lam137_230703,"Not available","Not available","Not available",-34.3264,18.965782,476,1119,23,7,3,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","12-to-17 years"
s2lam082_230808,"Not available","Not available","Not available",-33.681311,21.5598,475,992,23,8,8,"Wet season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam162_231106,"Not available","Not available","Not available",-33.681617,21.560129,475,1143,23,11,6,"Dry season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam073_231113,"Not available","Not available","Not available",-33.975782,20.83846,474,1008,23,11,13,"Dry season",Y,N,,"Forest-Woodland","Low: 0-500 m","6-to-12 years"
s2lam091_230712,"Not available","Not available","Not available",-33.9758,20.8385,474,715,23,7,12,"Wet season",Y,N,,"Forest-Woodland","Low: 0-500 m","6-to-12 years"
s2lam098_231125,"Not near (100 m) any water","Old (> 17 yrs)","None",-34.716903,19.937988,473,581,23,11,25,"Dry season",Y,N,,"Agriculture","Low: 0-500 m","No data or No Fire"
s2lam121_230813,"Not available","Not available","Not available",-34.7169,19.938,473,621,23,8,13,"Wet season",Y,N,,"Agriculture","Low: 0-500 m","No data or No Fire"
s2lam061_230721,"Not available","Not available","Not available",-33.879327,22.0303,472,708,23,7,21,"Wet season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam091_231017,"Within 50 m of a river or stream","Young (burned, < 6 yrs)","None",-33.879359,22.03036,472,850,23,10,17,"Dry season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam113_230808,"Not available","Not available","Not available",-33.225832,18.1391,471,874,23,8,8,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam113_231127,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.225797,18.139153,471,1276,23,11,27,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam144_230707,"Not available","Not available","Not available",-33.58275,23.4408,470,1128,23,7,7,"Wet season",Y,Y,,"Agriculture","High: >1000 m","25+ years"
s2lam151_230930,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.582753,23.440877,470,1144,23,9,30,"Dry season",Y,Y,,"Agriculture","High: >1000 m","25+ years"
s2lam040_231110,"Not near (100 m) any water","Old (> 17 yrs)","None",-33.947878,23.136556,469,717,23,11,10,"Dry season",Y,Y,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam114_230804,"Not available","Not available","Not available",-33.9479,23.1366,469,727,23,8,4,"Wet season",Y,Y,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
